ドン・キホーテ松山大街道店,〒790-0003,愛媛県松山市三番町二丁目3番7,TEL:089-913-0711
SALAD BOWL,〒790-0012,愛媛県松山市湊町4‐11‐1,TEL:089-948-8111
ドン・キホーテ松山店,〒790-0056,愛媛県松山市土居田町133番地1,TEL:089-943-7611
イオンスタイル松山,〒790-0951,愛媛県松山市天山1-13-5,TEL:089-946-9300
フラワーコンタクト イオンスタイル松山,〒790-0951,愛媛県松山市天山1-13-5イオンスタイル松山2階,TEL:089-913-6632
イオン新居浜店,〒792-0007,愛媛県新居浜市前田町8-8,TEL:0897-31-0500
中央コンタクト イオンモール新居浜,〒792-0007,愛媛県新居浜市前田町8-8イオンモール新居浜1階,TEL:0897-31-2107
MEGAドン・キホーテ 西条玉津店,〒793-0001,愛媛県西条市玉津564-1,TEL:0897-52-1611
イオンスタイル今治新都市,〒794-0068,愛媛県今治市にぎわい広場１−１,TEL:0898-34-6151
ドン・キホーテ四国中央店,〒799-0431,愛媛県四国中央市寒川町426-1,TEL:0570-098-811
ドン・キホーテ今治店,〒799-1506,愛媛県今治市東村1丁目14-2,TEL:0898-47-1411
