MEGAドン・キホーテUNY 岐阜店,〒500-8462,岐阜県岐阜市加納神明町六丁目1番地,TEL:058-275-3111
MEGAドン・キホーテ 岐阜瑞穂店,〒501-0224,岐阜県瑞穂市稲里580-1,TEL:058-329-0411
中央コンタクト モレラ岐阜,〒501-0497,岐阜県本巣市三橋1100モレラ岐阜1階,TEL:076-267-2210
イオン関店,〒501-3936,岐阜県関市倉知516,TEL:0575-21-0120
MEGAドン・キホーテ 関マーゴ店,〒501-3936,岐阜県関市倉知817 MAGO WEST W1-1A,TEL:0575-21-1611
アピタ大垣店,〒503-0015,岐阜県大垣市林町6丁目80番21,TEL:0584-83-1311
中央コンタクト イオンモール大垣,〒503-0933,岐阜県大垣市外野2丁目100番地イオンモール大垣1階,TEL:0584-87-1233
イオン大垣店,〒503-0933,岐阜県 大垣市外野2-100,TEL:0584-87-1300
ドン・キホーテ 大垣インター店,〒503-0947 ,岐阜県大垣市浅草４丁目６５−２,TEL:0570-089-611
MEGAドン・キホーテUNY 美濃加茂店,〒505-0023,岐阜県美濃加茂市野笹町２丁目５−６５,TEL:0570-091-611
JINJIN,〒506-0025,岐阜県高山市天満町1丁目5-8 フレスポ飛騨高山,TEL:0577-32-2054
MEGAドン・キホーテ 鵜沼店,〒509-0132,岐阜県各務原市鵜沼西町2-165,TEL:058-370-0155
アピタ各務原店,〒509-0141,岐阜県各務原市鵜沼各務原町8丁目7一番地,TEL:058-384-3911
ドン・キホーテUNY 可児店,〒509-0202,岐阜県可児市中恵土 字溝向 2120番 1,TEL:0574-63-2611
ハートアップイオンモール土岐,〒509-5122,岐阜県土岐市土岐津町土岐口1372番地1イオンモール土岐2階,TEL:0572-26-7390
MEGAドン・キホーテUNY 恵那店,〒509-7203,岐阜県恵那市長島町正家二丁目2番地17,TEL:0573-20-0001
