中央コンタクト アピタタウン金沢ベイ,〒920-0333,石川県金沢市無量寺4-56アピタタウン金沢ベイシンセンポート内,TEL:076-267-2210
MEGAドン・キホーテ 金沢鞍月店,〒920-0333,石川県金沢市無量寺4丁目121番地1,TEL:076-266-6211
キリン堂金沢松村店,〒920-0348,石川県金沢市松村3-475,TEL:076-267-5006
中央コンタクト 金沢フォーラス,〒920-0849,石川県金沢市堀川新町3-1金沢フォーラス5階,TEL:076-221-6111
イオンもりの里店,〒920-1167,石川県金沢市もりの里1-70,TEL:076-234-8888
ドン・キホーテ金沢森本店,〒920-3116,石川県金沢市南森本町二11-1,TEL:076-257-5311
キリン堂新神田店,〒921-8013,石川県金沢市新神田4-6-20,TEL:076-292-3550
MEGAドン・キホーテ ラパーク金沢店,〒921-8043,石川県金沢市西泉4-11 ラパーク金沢,TEL:076-247-3810
キリン堂長坂店,〒921-8112,石川県金沢市長坂2-1-42,TEL:076-226-5055
ドン・キホーテ小松店,〒923-0034,石川県小松市長田町口1-1,TEL:0761-23-6911
イオンスタイル新小松,〒923-0861,石川県小松市沖周辺土地区画整理事業区域内 20街区,TEL:0761-20-8500
イオン白山店,〒924-0011,石川県白山市横江町1681,TEL:076-216-1350
ハートアップイオンモール白山,〒924-0011,石川県白山市横江町土地区画整理事業施行地区内1街区イオンモール白山3階,TEL:076-259-1342
アピタ松任店,〒924-0817,石川県白山市幸明町280番地,TEL:076-274-6611
ドン・キホーテ七尾店,〒926-0811,石川県七尾市御祓町1,TEL:0767-54-6711
イオンスタイルかほく,〒929-1198,石川県かほく市内日角タ25番,TEL:076-289-1001
