アインズ＆トルペアミュプラザ鹿児島店,〒890-0053,鹿児島県鹿児島市中央町1-1アミュプラザ鹿児島1F,TEL:099-814-7811
ドン・キホーテ鹿児島中央一番街店,〒890-0053,鹿児島県鹿児島市中央町２２−１６ 1F,TEL:0570-550-285
ドン・キホーテ鹿児島宇宿店,〒890-0073,鹿児島県鹿児島市宇宿2-2-18 「スクエアモール鹿児島宇宿」内,TEL:099-213-7711
アインズ＆トルペセンテラス天文館店,〒890-0843,鹿児島県鹿児島市千日町1-1センテラス天文館1F,TEL:099-248-7761
ACT-1 イオンモール鹿児島店,〒891-0115,鹿児島県鹿児島市東開町7イオンモール鹿児島3階,TEL:099-813-8133
ドン・キホーテ天文館店,〒892-0844,鹿児島県鹿児島市山之口町12番15-2号,TEL:099-219-4311
MEGAドン・キホーテ 鹿屋店,〒893-0012,鹿児島県鹿屋市王子町3971-1,TEL:0994-42-6911
ドン・キホーテ 薩摩川内店,〒895-0061,鹿児島県薩摩川内市御陵下町字溝添3792番,TEL:0570-550-362
MEGAドン・キホーテ 霧島隼人店,〒899-5117,鹿児島県霧島市隼人町見次468-4,TEL:0995-44-8111
Hersherイオンタウン姶良店,〒899-5431,鹿児島県姶良市西餠田264-1イオンタウン姶良店3階,TEL:0995-57-8245
