中央コンタクト 川崎アゼリア,〒210-0007,神奈川県川崎市川崎区駅前本町26-2,TEL:044-233-9910
ピカソ 川崎銀柳街店,〒210-0007,神奈川県川崎市川崎区駅前本町4-12,TEL:044-210-3011
アインズ＆トルペ川崎ゼロゲート店,〒210-0023,神奈川県川崎市川崎区小川町1-1川崎ゼロゲート1F,TEL:044-589-3604
ハートアップグランツリー武蔵小杉,〒211-0004,神奈川県川崎市中原区新丸子東3丁目1135番地1号グランツリー武蔵小杉3階,TEL:044-431-3128
元住吉西口店,〒211-0025,神奈川県川崎市中原区木月1-30-33,TEL:044-433-9970
FitCareDEPOT小杉店,〒211-0063,神奈川県川崎市中原区小杉町３丁目４４１,TEL:044-711-2300
MEGAドン・キホーテ かわさき店,〒212-0022,神奈川県川崎市幸区神明町1-44-1,TEL:044-543-1611
ドン・キホーテ溝ノ口駅前店,〒213-0001,神奈川県川崎市高津区溝口1-13-5,TEL:044-829-0311
Beauty 5 Senses HAIFUKIYA溝口,〒213-0001,神奈川県川崎市高津区,TEL:044-814-2231
イオン新百合ヶ丘店,〒215-0021,神奈川県川崎市麻生区上麻生1-19,TEL:044-951-5501
MEGAドン・キホーテ 東名川崎店,〒216-0035,神奈川県川崎市宮前区馬絹2丁目1番1号,TEL:044-870-3811
アインズ＆トルペ横浜ジョイナス店,〒220-0005,神奈川県横浜市西区南幸1丁目5-1相鉄ジョイナス3F,TEL:045-548-3235
ドン・キホーテ横浜西口店,〒220-0005,神奈川県横浜市西区南幸2-15-5,TEL:045-317-3411
凛 横浜VIVRE店,〒220-0005,神奈川県横浜市西区南幸2-15-13横浜VIVRE4F,TEL:045-320-6325
アインズ＆トルペマルイシティ横浜店,〒220-0011,神奈川県横浜市西区高島2丁目19-12マルイシティ2F,TEL:045-594-8723
アインズ＆トルペ 横浜ポルタ店,〒220-0011,神奈川県横浜市西区高島二丁目16番B1 横浜駅東口地下街ポルタ,TEL:045-577-9305
アインズ＆トルペみなとみらい東急スクエア店,〒220-0012,神奈川県横浜市西区みなとみらい2-3-9みなとみらい東急スクエア②1F,TEL:045-263-8391
クイーンアイズ横浜店,〒220‐8577,神奈川県横浜市西区南幸2丁目-15-3横浜ビブレ３F,TEL:090-4702-9011
MEGAドン・キホーテUNY 横浜大口店,〒221-0015,神奈川県横浜市神奈川区神之木町2番30号,TEL:045-433-1411
メアシス 横浜ベイクオーター,〒221-0056,神奈川県横浜市神奈川区金港町1-10横浜ベイクォーター4階,TEL:045-450-5121
MEGAドン・キホーテ 新横浜店,〒222-0032,神奈川県横浜市港北区大豆戸町529-5,TEL:045-533-5611
イオンスタイル横浜高田店,〒223-0066,神奈川県 横浜市港北区高田西1-1-47,TEL:045-595-2500
