ドン・キホーテ アピタ四日市店,〒510-0075,三重県四日市市安島1丁目3番31号,TEL:0570-010-038
ハートアップビジョンスクエア近鉄四日市ふれあいモール,〒510-0075,三重県四日市市安島1-31-1近鉄四日市フレアイモール1階,TEL:059-350-1055
ドン・キホーテ鈴鹿店,〒510-0256,三重県鈴鹿市磯山4-6-18,TEL:059-380-1311
MEGAドン・キホーテ 四日市店,〒510-0943,三重県四日市市西日野町1608-1,TEL:059-320-2411
アピタ桑名店,〒511-0068,三重県桑名市中央町3丁目21番地,TEL:0594-23-8111
イオン東員店,〒511-0255,三重県員弁郡東員町長深510-1,TEL:0594-86-1200
イオン桑名店,〒511-0863,三重県桑名市新西方1-22,TEL:0594-24-5555
MEGAドン・キホーテUNY 鈴鹿店,〒513-0816,三重県鈴鹿市南玉垣町3628,TEL:059-388-8911
イオン鈴鹿店,〒513-0834,三重県鈴鹿市庄野羽山4-1-2,TEL:059-375-0777
MEGAドン・キホーテ 津桜橋店,〒514-0003,三重県津市桜橋3丁目67-1,TEL:059-221-6011
イオンモール津南,〒514-0817,三重県津市高茶屋小森町145番地,TEL:059-238-4100
イオンモール明和店,〒515-0348,三重県多気郡明和町中村1223,TEL:0596-55-6200
MEGAドン・キホーテUNY 嬉野店,〒515-2325 ,三重県松阪市嬉野中川新町４丁目２０５ 1階 ピアゴ嬉野店,TEL:0570‐087‐133
イオン伊勢店,〒516-0014,三重県伊勢市楠部町乙160-2,TEL:0596-26-1500​
MEGAドン・キホーテ 伊勢上地店,〒516-0051 ,三重県伊勢市上地町字川西３１１８−１,TEL:0570‐088‐531
ドン・キホーテ伊勢店,〒516-0053,三重県伊勢市中須町627-3,TEL:0596-20-0311
MEGAドン・キホーテUNY 名張店,〒518-0413,三重県名張市下比奈知字黒田3100番地の1,TEL:0595-68-9611
キリン堂リードタウン名張店,〒518-0441,三重県名張市夏見253-1,TEL:0595-62-1711
イオン名張店,〒518-0725,三重県名張市元町376,TEL:0595-63-5241
