ドン・キホーテD Plaza大分店,〒870-0031,大分県大分市大字勢家1137,TEL:097-513-5477
ドン・キホーテ大分中央町,〒870-0035,大分県大分市中央町２丁目３−４,TEL:0570-783-508
コスメドラッグファン サンリブ明野店,〒870-0165,大分県 大分市明野北5-15-16,TEL:097-574-6155
ACT-1 パークプレイス大分店,〒870-0174,大分県大分市公園通リ西2丁目1番パークプレイス大分2階区画A-203-1,TEL:097-547-7338
中央コンタクト パークプレイス大分,〒870-0174,大分県大分市公園通リ西2-1パークプレイス大分2階,TEL:097-524-6571
コスメファン 古国府店,〒870-0844,大分県大分市古国府4-1-7,TEL:097-573-5800
MEGAドン・キホーテ 大分光吉インター店,〒870-1133,大分県大分市宮崎258番地,TEL:097-557-0311
ACT-1 ユメタウン中津店,〒871-0065,大分県中津市蛭子町3丁目99ユメタウン中津店3階,TEL:0979-53-6767
ドン・キホーテ別府店,〒874-0929,大分県別府市南的ヶ浜町6-20,TEL:0570-200-465
コスメドラッグファン 別府駅店,〒874-0935,大分県別府市駅前町11-17 BIS南館40130号,TEL:0977-84-7739
ACT-1 ユメタウン別府店,〒874-0943,大分県別府市楠町382-7ユメタウン別府店3F,TEL:0977-26-6710
コスメドラッグファン 佐伯中央店,〒876-0854,大分県佐伯市中村南町1329-3,TEL:0972-24-0689
