ヴァインドラッグ那覇メインプレイス店,〒900-0006,沖縄県那覇市おもろまち4-4-4 サンエーメインプレイス店内,TEL:098-951-3313
ドン・キホーテ国際通り店,〒900-0014,沖縄県那覇市松尾2-8-19,TEL:098-951-2311
ドン・キホーテ那覇壺川店,〒900-0025,沖縄県那覇市壺川3-2-1,TEL:098-832-1511
イオン那覇店,〒901-0155,沖縄県那覇市金城5-10-2,TEL:098-852-1515
MEGAドン・キホーテ 豊見城店,〒901-0223,沖縄県豊見城市字翁長854-1,TEL:098-840-6511
イオン南風原店,〒901-1104,沖縄県島尻郡南風原町宮平264,TEL:098-940-6100
中央コンタクト 沖縄・浦添パルコシティ,〒901-2123,沖縄県浦添市西洲3-1-1サンエー浦添西海岸PARCOCITY3階,TEL:098-870-1781
ReMAKE浦添パルコシティ店,〒901-2123,沖縄県浦添市西洲三丁目1番1サンエーパルコシティ内 3F（区画3072）,TEL:098-917-6268
MEGAドン・キホーテ 宜野湾店,〒901-2223,沖縄県宜野湾市大山7-7-12,TEL:098-942-9911
イオンライカム店,〒901-2306,沖縄県中頭郡北中城村字ライカム1番地,TEL:098-983-8888
ヴァインドラッグ末吉店,〒903-0801,沖縄県那覇市首里末吉町4-1-1,TEL:098-835-5577
イオン北谷店,〒904-0115,沖縄県中頭郡北谷町美浜8番地の3,TEL:098-982-7575
MEGAドン・キホーテうるま店,〒904-2231,沖縄県うるま市塩屋浜原502-1,TEL:0570-054-511
MEGAドン・キホーテ 名護店,〒905-0019,沖縄県名護市大北5丁目24番11号,TEL:0980-45-0411
ドン・キホーテ宮古島店,〒906-0012,沖縄県宮古島市平良字西里1283,TEL:0570-073-511
ふく薬品みやこ店,〒906-0015,沖縄県宮古島市平良松原６３１,TEL:0980-74-3137
ドン・キホーテ石垣島店,〒907-0001,沖縄県石垣市大浜高田原462-1,TEL:0570-089-811
いちゃりば,〒907-0012,沖縄県石垣市美崎町1-3根原ビル1階,TEL:0980-87-0229
