ドン・キホーテ大宮東口店,〒330-0802,埼玉県さいたま市大宮区宮町1-60,TEL:048-658-8211
アインズ＆トルペ大宮アルシェ店,〒330-0854,埼玉県さいたま市大宮区桜木町2丁目1-1大宮アルシェ2F,TEL:048-778-8545
PERFUMAGIC大宮,〒330-0854,埼玉県さいたま市大宮区桜木町2-1-1アルシェ3階,TEL:048-648-0780
セキ薬局 内野本郷店,〒331-0045,埼玉県さいたま市西区内野本郷543-1,TEL:048-788-6900
セキ薬局 指扇店,〒331-0047,埼玉県さいたま市西区大字指扇444-1,TEL:048-662-9121
セキ薬局 宮原店,〒331-0812,埼玉県さいたま市北区宮原町1-345,TEL:048-788-5600
ドン・キホーテ大宮店,〒331-0814,埼玉県さいたま市北区東大成町2-685,TEL:048-668-6511
セキ薬局 奈良町店,〒331-0822,埼玉県さいたま市北区奈良町38-1,TEL:048-729-8946
アインズ＆トルペかわぐちキャスティ店,〒332-0017,埼玉県川口市栄町3丁目7-1かわぐちキャスティ3F,TEL:048-242-0630
エッセンス 川口駅前店,〒332-0017,埼玉県川口市栄町3-9-13,TEL:048-240-5411
中央コンタクト 川口,〒332-0017,埼玉県川口市栄町3-7-1かわぐちキャスティ2階,TEL:048-254-6112
ドン・キホーテエッセンス川口駅前店,〒332-0017,埼玉県川口市栄町３丁目９−１３,TEL:0570-047-211
ドン・キホーテ西川口駅前店,〒332-0021,埼玉県川口市西川口1丁目21番1,TEL:048-242-0811
ドン・キホーテ川口新井宿店,〒333-0833,埼玉県川口市大字西新井宿81-1,TEL:048-288-3721
イオンスタイル川口店,〒333-0834,埼玉県川口市安行領根岸3180,TEL:048-288-8900
中央コンタクト イオンモール川口,〒333-0834,埼玉県川口市安行領根岸3180番地2階,TEL:048-288-8811
イオンモール川口前川店,〒333-0842,埼玉県川口市前川1-1-11,TEL:048-263-5000
ドラッグストアセキ鳩ヶ谷店,〒334-0003,埼玉県川口市坂下町3-13-6,TEL:048-288-0180
セキ薬局 南鳩ヶ谷店,〒334-0004,埼玉県川口市大字辻785-1,TEL:048-287-9760
セキ薬局 東本郷店,〒334-0063,埼玉県川口市東本郷1220-1,TEL:048-291-9300
セキ薬局 蕨錦町店,〒335-0005,埼玉県蕨市錦町1-14-27,TEL:048-969-4804
ドン・キホーテ蕨店,〒335-0005,埼玉県蕨市錦町1-11-11,TEL:048-430-5911
セキ薬局 戸田公園店,〒335-0023,埼玉県戸田市本町4-13-5,TEL:048-447-7280
イオンスタイル北戸田,〒335-0032,埼玉県戸田市美女木東1丁目3-1,TEL:048-422-9700
MEGAドン・キホーテ 武蔵浦和店,〒336-0022,埼玉県さいたま市南区白幡5-16-10,TEL:048-845-6211
セキ薬局 三室店,〒336-0911,埼玉県さいたま市緑区大字三室2449-15,TEL:048-799-3646
MEGAドン・キホーテ 浦和原山店,〒336-0931,埼玉県さいたま市緑区原山4-3-3,TEL:048-885-3810
イオンモール浦和美園,〒336-8760,埼玉県さいたま市緑区美園5丁目50番地1,TEL:048-812-6464
セキ薬局 東宮下店,〒337-0012,埼玉県さいたま市見沼区東宮下332-1,TEL:048-797-8250
イオンモール与野店,〒338-0004,埼玉県さいたま市中央区本町西5-2-9,TEL:048-856-7100
ドン・キホーテ与野店,〒338-0006,埼玉県さいたま市中央区八王子１-７-２６,TEL:048-859-8111
セキ薬局 白鍬店,〒338-0811,埼玉県さいたま市桜区白鍬752,TEL:048-711-9822
セキ薬局 中浦和店,〒338-0832,埼玉県さいたま市桜区西堀7-16-11,TEL:048-816-4949
セキ薬局道場店,〒338-0835,埼玉県さいたま市桜区道場３丁目１６−１６,TEL:048-762-3314
ドラッグストアセキ東岩槻店,〒339-0007,埼玉県さいたま市岩槻区諏訪1-2-3,TEL:048-795-2877
セキ薬局 浦和美園店,〒339-0028,埼玉県さいたま市岩槻区美園東2-14-12,TEL:048-791-6030
セキ薬局 岩槻城南店,〒339-0043,埼玉県さいたま市岩槻区城南5-7-1,TEL:048-792-0337
MEGAドン・キホーテ 草加店,〒340-0011,埼玉県草加市栄町 2-8-33,TEL:048-930-6811
セキ薬局 新里町店,〒340-0031,埼玉県草加市新里町729-1,TEL:048-969-4500
アインズ＆トルペ草加ヴァリエ店,〒340-0034,埼玉県草加市氷川町1970草加VARIE2,TEL:048-948-7534
ドラッグストアセキ幸手店,〒340-0114,埼玉県幸手市東2-19-22,TEL:0480-43-8658
セキ薬局 ベスタ東鷲宮店,〒340-0203,埼玉県久喜市桜田2-6-1,TEL:0480-59-7500
